County Code, County Name, Precinct Code, Contest Code, Contest Name, Party, Candidate Code , Candidate Name, Candidate Votes, Contest Votes, Pecentage,office,candidate,party
2, Berkeley,1, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,304,1590,19.12%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,10, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,336,2073,16.21%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,105, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,227,1401,16.20%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,106, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,161,1119,14.39%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,107, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,217,1425,15.23%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,11, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,148,977,15.15%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,110, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,102,780,13.08%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,111, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,126,1062,11.86%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,112, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,192,1218,15.76%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,113, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,87,672,12.95%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,114, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,127,867,14.65%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,115, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,144,942,15.29%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,12, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,380,2922,13.00%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,13, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,179,1200,14.92%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,14, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,185,837,22.10%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,15, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,247,1230,20.08%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,16, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,438,2655,16.50%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,17, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,262,1485,17.64%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,18, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,297,1815,16.36%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley, 18A, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,63,540,11.67%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,19, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,207,1584,13.07%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,2, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,321,2001,16.04%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,20, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,212,1638,12.94%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,21, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,283,2295,12.33%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,22, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,202,1380,14.64%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley, 22A, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,143,1296,11.03%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,23, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,466,3114,14.96%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,24, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,358,1929,18.56%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,25, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,330,1827,18.06%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,26, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,257,1818,14.14%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,27, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,401,2625,15.28%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,28, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,310,2043,15.17%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,29, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,293,2037,14.38%,Attorney General,Darrell V. McGraw Jr.,D
2, Berkeley,30, IA, Attorney General, D,1035, Darrell V. McGraw Jr.,223,1680,13.27%,Attorney General,Darrell V. McGraw Jr.,D
